taxon_id,name,obs_count
67905,Polytrichum piliferum,42
68562,Cosmos bipinnatus,42
84305,Carya tomentosa,42
85490,Phryma leptostachya,42
129853,Geranium sanguineum,42
78338,Panicum dichotomiflorum,41
119138,Lespedeza virginica,41
122055,Asplenium montanum,41
130677,Pleurozium schreberi,41
320575,Bartramia pomiformis,41
49916,Sisyrinchium angustifolium,40
56134,Muscari botryoides,40
77468,Hydrilla verticillata,40
118776,Monarda punctata,40
119808,Lonicera dioica,40
129286,Carex gracillima,40
143759,Hottonia inflata,40
145721,Solidago patula,40
48502,Cercis canadensis,39
57983,Helianthus annuus,39
60015,Dianthus barbatus,39
60438,Cardamine concatenata,39
75762,Berteroa incana,39
76444,Coreopsis lanceolata,39
118761,Parnassia glauca,39
125380,Asclepias purpurascens,39
126656,Symphyotrichum undulatum,39
129555,Lespedeza procumbens,39
163545,Hedeoma pulegioides,39
787459,Hexasepalum teres,39
58738,Rhus aromatica,38
78709,Potamogeton epihydrus,38
79025,Sedum album,38
82308,Carex crinita,38
120007,Agalinis tenuifolia,38
204163,Micranthes pensylvanica,38
1308947,Pourthiaea villosa,38
54518,Lemna minor,37
57057,Medicago sativa,37
69756,Chamaecyparis thyoides,37
77915,Lycopus uniflorus,37
78456,Persicaria punctata,37
81711,Hydrophyllum virginianum,37
130382,Heliopsis helianthoides,37
130991,Tradescantia virginiana,37
49226,Amelanchier arborea,36
54436,Rubus idaeus,36
56166,Persicaria maculosa,36
59301,Ranunculus sceleratus,36
60316,Typha angustifolia,36
67808,Solidago canadensis,36
128617,Viola lanceolata,36
142654,Rudbeckia fulgida,36
165474,Miscanthus sinensis,36
168750,Sedum sexangulare,36
203695,Euphorbia polygonifolia,36
204435,Viola subsinuata,36
48627,Echinacea purpurea,35
52739,Vaccinium fuscatum,35
53387,Cornus sericea,35
56153,Juncus effusus,35
57076,Trifolium campestre,35
77952,Malva neglecta,35
78849,Rhynchospora capitellata,35
119936,Vitis riparia,35
123050,Vallisneria americana,35
