species,status,is_weed,cipwg_category,source,hazard
Bidens discoidea,native,false,,iNaturalist establishment_means (CT),
Bidens frondosa,native,false,,iNaturalist establishment_means (CT),
Bidens laevis,native,false,,iNaturalist establishment_means (CT),
Bidens polylepis,introduced,false,,iNaturalist establishment_means (CT),
Bidens tripartita,native,false,,iNaturalist establishment_means (CT),
Bistorta amplexicaulis,introduced,false,,iNaturalist establishment_means (CT),
Boehmeria cylindrica,native,false,,iNaturalist establishment_means (CT),
Boltonia asteroides,introduced,false,,iNaturalist establishment_means (CT),
Borago officinalis,introduced,false,,iNaturalist establishment_means (CT),
Botrychium angustisegmentum,native,false,,iNaturalist establishment_means (CT),
Botrypus virginianus,native,false,,iNaturalist establishment_means (CT),
Brasenia schreberi,native,false,,iNaturalist establishment_means (CT),
Brassica napus,introduced,false,,iNaturalist establishment_means (CT),
Brassica oleracea,introduced,false,,iNaturalist establishment_means (CT),
Brassica rapa,introduced,false,,iNaturalist establishment_means (CT),
Bromus commutatus,introduced,false,,iNaturalist establishment_means (CT),
Bromus inermis,introduced,false,,iNaturalist establishment_means (CT),
Bromus secalinus,introduced,false,,iNaturalist establishment_means (CT),
Bromus tectorum,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Broussonetia papyrifera,introduced,false,,iNaturalist establishment_means (CT),
Brunnera macrophylla,introduced,false,,iNaturalist establishment_means (CT),
Buddleja davidii,introduced,false,,iNaturalist establishment_means (CT),
Bupleurum rotundifolium,introduced,false,,iNaturalist establishment_means (CT),
Butomus umbellatus,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Buxus microphylla,ornamental,false,,iNat cultivated scope (WS-B),
Buxus sempervirens,introduced,false,,iNaturalist establishment_means (CT),
Cabomba caroliniana,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Caladium bicolor,introduced,false,,iNaturalist establishment_means (CT),
Calendula officinalis,introduced,false,,iNaturalist establishment_means (CT),
Calla palustris,native,false,,iNaturalist establishment_means (CT),
Callicarpa dichotoma,introduced,false,,iNaturalist establishment_means (CT),
Callitropsis nootkatensis,ornamental,false,,iNat cultivated scope (WS-B),
Calluna vulgaris,introduced,false,,iNaturalist establishment_means (CT),
Calycanthus floridus,introduced,false,,iNaturalist establishment_means (CT),
Calystegia sepium,native,false,,iNaturalist establishment_means (CT),
Campanula glomerata,introduced,false,,iNaturalist establishment_means (CT),
Campanula medium,introduced,false,,iNaturalist establishment_means (CT),
Campanula persicifolia,introduced,false,,iNaturalist establishment_means (CT),
Campanula poscharskyana,introduced,false,,iNaturalist establishment_means (CT),
Campanula punctata,introduced,false,,iNaturalist establishment_means (CT),
Campanula rapunculoides,introduced,false,,iNaturalist establishment_means (CT),
Campanula trachelium,introduced,false,,iNaturalist establishment_means (CT),
Canna indica,ornamental,false,,iNat cultivated scope (WS-B),
Cannabis sativa,introduced,false,,iNaturalist establishment_means (CT),
Capnoides sempervirens,native,false,,iNaturalist establishment_means (CT),
Capsella bursa-pastoris,introduced,true,,common Eurasian-introduced weed,
Capsicum annuum,ornamental,false,,iNat cultivated scope (WS-B),
Cardamine hirsuta,introduced,false,,iNaturalist establishment_means (CT),
Cardamine impatiens,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Cardamine occulta,introduced,false,,iNaturalist establishment_means (CT),
Cardamine pensylvanica,native,false,,iNaturalist establishment_means (CT),
Cardamine pratensis,introduced,false,,iNaturalist establishment_means (CT),
Carduus nutans,introduced,false,,iNaturalist establishment_means (CT),
Carex blanda,native,false,,iNaturalist establishment_means (CT),
Carex bromoides,native,false,,iNaturalist establishment_means (CT),
Carex crinita,native,false,,iNaturalist establishment_means (CT),
Carex debilis,native,false,,iNaturalist establishment_means (CT),
Carex digitalis,native,false,,iNaturalist establishment_means (CT),
Carex gracillima,native,false,,iNaturalist establishment_means (CT),
Carex hirtifolia,native,false,,iNaturalist establishment_means (CT),
Carex intumescens,native,false,,iNaturalist establishment_means (CT),
Carex kobomugi,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Carex laxiculmis,native,false,,iNaturalist establishment_means (CT),
Carex lupulina,native,false,,iNaturalist establishment_means (CT),
Carex lurida,native,false,,iNaturalist establishment_means (CT),
Carex pensylvanica,native,false,,iNaturalist establishment_means (CT),
Carex rosea,native,false,,iNaturalist establishment_means (CT),
Carex stipata,native,false,,iNaturalist establishment_means (CT),
Carex stricta,native,false,,iNaturalist establishment_means (CT),
Carex virescens,native,false,,iNaturalist establishment_means (CT),
Carex vulpinoidea,native,false,,iNaturalist establishment_means (CT),
Carpinus betulus,introduced,false,,iNaturalist establishment_means (CT),
Carpinus caroliniana,native,false,,iNaturalist establishment_means (CT),
Carthamus tinctorius,introduced,false,,iNaturalist establishment_means (CT),
Carya cordiformis,native,false,,iNaturalist establishment_means (CT),
Carya glabra,native,false,,iNaturalist establishment_means (CT),
Carya ovalis,native,false,,iNaturalist establishment_means (CT),
Carya ovata,native,false,,iNaturalist establishment_means (CT),
Carya tomentosa,native,false,,iNaturalist establishment_means (CT),
Castanea dentata,native,false,,iNaturalist establishment_means (CT),
Castanea mollissima,introduced,false,,iNaturalist establishment_means (CT),
Catalpa bignonioides,introduced,false,,iNaturalist establishment_means (CT),
Catalpa speciosa,introduced,false,,iNaturalist establishment_means (CT),
Catharanthus roseus,introduced,false,,iNaturalist establishment_means (CT),
Caulophyllum thalictroides,native,false,,iNaturalist establishment_means (CT),
Cedrus atlantica,ornamental,false,,iNat cultivated scope (WS-B),
Celastrus orbiculatus,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Celosia argentea,ornamental,false,,iNat cultivated scope (WS-B),
Celtis occidentalis,native,false,,iNaturalist establishment_means (CT),
Cenchrus alopecuroides,introduced,false,,iNaturalist establishment_means (CT),
Cenchrus setaceus,ornamental,false,,iNat cultivated scope (WS-B),
Centaurea cyanus,introduced,false,,iNaturalist establishment_means (CT),
Centaurea jacea,introduced,false,,iNaturalist establishment_means (CT),
Centaurea montana,introduced,false,,iNaturalist establishment_means (CT),
Centaurea nigra,introduced,false,,iNaturalist establishment_means (CT),
Centaurea nigrescens,introduced,false,,iNaturalist establishment_means (CT),
Centaurea stoebe,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Centaurium pulchellum,introduced,false,,iNaturalist establishment_means (CT),
Cephalanthus occidentalis,native,false,,iNaturalist establishment_means (CT),
Cerastium fontanum,introduced,true,,common Eurasian-introduced weed,
Cerastium glomeratum,introduced,false,,iNaturalist establishment_means (CT),
Cerastium holosteoides,introduced,false,,iNaturalist establishment_means (CT),
Cerastium tomentosum,introduced,false,,iNaturalist establishment_means (CT),
Ceratophyllum echinatum,native,false,,iNaturalist establishment_means (CT),
Ceratostigma plumbaginoides,introduced,false,,iNaturalist establishment_means (CT),
Cercidiphyllum japonicum,introduced,false,,iNaturalist establishment_means (CT),
Cercis canadensis,native,false,,iNaturalist establishment_means (CT),
Chaenomeles speciosa,introduced,false,,iNaturalist establishment_means (CT),
